Phrase ,Section,Clause ,Page 
brake light not working ,2.1(a),"Lighting components fitted to a vehicle are not operational, are damaged, or not located in positions as required by prescribed standards. Note 1: For vehicles which are fitted with Light Emitting Diode (LED) lamp assemblies and of which some individual LEDs are not operating on a particular unit, it will be permissible to accept individual LED lamp assemblies if up to and including 20% of the LEDs in an individual assembly are not operating. That is, if an LED lamp assembly has: • 9 individual LEDs, it will be acceptable to have 1 LED not working. • 10 individual LEDs, it will be acceptable to have 2 LEDs not working. • 22 individual LEDs, it will be acceptable to have 4 LEDs not working.",15
number plate light not working ,2.1(a),"Lighting components fitted to a vehicle are not operational, are damaged, or not located in positions as required by prescribed standards. Note 1: For vehicles which are fitted with Light Emitting Diode (LED) lamp assemblies and of which some individual LEDs are not operating on a particular unit, it will be permissible to accept individual LED lamp assemblies if up to and including 20% of the LEDs in an individual assembly are not operating. That is, if an LED lamp assembly has: • 9 individual LEDs, it will be acceptable to have 1 LED not working. • 10 individual LEDs, it will be acceptable to have 2 LEDs not working. • 22 individual LEDs, it will be acceptable to have 4 LEDs not working.",15
number plate light inoperative ,2.1(a),"Lighting components fitted to a vehicle are not operational, are damaged, or not located in positions as required by prescribed standards. Note 1: For vehicles which are fitted with Light Emitting Diode (LED) lamp assemblies and of which some individual LEDs are not operating on a particular unit, it will be permissible to accept individual LED lamp assemblies if up to and including 20% of the LEDs in an individual assembly are not operating. That is, if an LED lamp assembly has: • 9 individual LEDs, it will be acceptable to have 1 LED not working. • 10 individual LEDs, it will be acceptable to have 2 LEDs not working. • 22 individual LEDs, it will be acceptable to have 4 LEDs not working.",15
brake light inoperative ,2.1(a),"Lighting components fitted to a vehicle are not operational, are damaged, or not located in positions as required by prescribed standards. Note 1: For vehicles which are fitted with Light Emitting Diode (LED) lamp assemblies and of which some individual LEDs are not operating on a particular unit, it will be permissible to accept individual LED lamp assemblies if up to and including 20% of the LEDs in an individual assembly are not operating. That is, if an LED lamp assembly has: • 9 individual LEDs, it will be acceptable to have 1 LED not working. • 10 individual LEDs, it will be acceptable to have 2 LEDs not working. • 22 individual LEDs, it will be acceptable to have 4 LEDs not working.",15
spot light inoperative ,2.1(a),"Lighting components fitted to a vehicle are not operational, are damaged, or not located in positions as required by prescribed standards. Note 1: For vehicles which are fitted with Light Emitting Diode (LED) lamp assemblies and of which some individual LEDs are not operating on a particular unit, it will be permissible to accept individual LED lamp assemblies if up to and including 20% of the LEDs in an individual assembly are not operating. That is, if an LED lamp assembly has: • 9 individual LEDs, it will be acceptable to have 1 LED not working. • 10 individual LEDs, it will be acceptable to have 2 LEDs not working. • 22 individual LEDs, it will be acceptable to have 4 LEDs not working.",15
light bar inoperative ,2.1(a),"Lighting components fitted to a vehicle are not operational, are damaged, or not located in positions as required by prescribed standards. Note 1: For vehicles which are fitted with Light Emitting Diode (LED) lamp assemblies and of which some individual LEDs are not operating on a particular unit, it will be permissible to accept individual LED lamp assemblies if up to and including 20% of the LEDs in an individual assembly are not operating. That is, if an LED lamp assembly has: • 9 individual LEDs, it will be acceptable to have 1 LED not working. • 10 individual LEDs, it will be acceptable to have 2 LEDs not working. • 22 individual LEDs, it will be acceptable to have 4 LEDs not working.",15
tinted tail lights ,2.1(b),Any lighting component has a tinted or opaque cover or tinting applied to it. Note 2: Headlamps may be fitted with clip on type opaque covers provided they can be readily removed without the use of tools. Clear headlamp covers are acceptable provided the intensity of high or low beam is not affected. Original vehicle manufacturer tinted external covers that form part of the original light assembly are acceptable.,15
obscured light,2.1(c),"Lighting components, including additional lighting, are not clearly visible under all normal conditions and of a consistent intensity or are affected by dirty/discoloured lenses or poor electrical contact.",15
tail light lens faded ,2.1(d),"Lighting components are not securely mounted, are faded, discoloured or are not free from cracks, holes, or other damage which would allow the entry of moisture or dirt to impair the efficiency of the component. Note 3: Lens repairs are",15
guard lens faded,2.1(d),"Lighting components fitted to a vehicle are not operational, are damaged, or not located in positions as required by prescribed standards. Note 1: For vehicles which are fitted with Light Emitting Diode (LED) lamp assemblies and of which some individual LEDs are not operating on a particular unit, it will be permissible to accept individual LED lamp assemblies if up to and including 20% of the LEDs in an individual assembly are not operating. That is, if an LED lamp assembly has: • 9 individual LEDs, it will be acceptable to have 1 LED not working. • 10 individual LEDs, it will be acceptable to have 2 LEDs not working. • 22 individual LEDs, it will be acceptable to have 4 LEDs not working.",15
white light to rear ,2.1(f),"Any rear facing lamp, other than a reversing lamp, shows white light to the rear of the vehicle.",15
coloured lights,2.1(h),A lighting component is fitted which is not required or permitted by Vehicle Standards or another law. Note 4: Further information on lamps/lights is contained in Information Sheets No. 8 (page 68) and 9 (page 70) in Part 3 Information Sheets for Approved Examiners.,15
rusted headlight,2.2(b),Reflector surfaces are tarnished or have other damage that reduces the intensity of low or high beam.,16
obscured headlight,2.2(c),"The light from the headlamp is obstructed by the fitting of other components (e.g., bull bars, nudge bars, or fishing rod holders).",16
hid headlights,2.2(g),"High Intensity Gas-Discharge (HID) assemblies are not self-levelling, do not have a wash/wipe function and/or do not disperse the light correctly.",16
indicators white ,2.2(h),"The following lamps, where applicable, do not operate correctly or do not emit the colour light as indicated: • front park or side lamps (white); • brake lamps (red); • tail lamps (red); • turn signal indicator lamps (amber, or white if prior to 1973); • rear facing signal indicator lamps (yellow/amber/red prior to 1973); • hazard warning lamps (yellow/amber); • clearance/side marker lamps, (if fitted, front – yellow/white, side – yellow/amber, rear – yellow/amber and red); Note 6: For pre-ADR vehicles, clearance lamps must be fitted to all vehicles which exceed 2.2 metres in width and be mounted not more than 400mm in from the side of the vehicle, at least 750mm higher than the centre of any low beam headlamp or not lower than the top of the windscreen. Note 7: Clearance lamps must be fitted to ADR complying vehicles which exceed 2.1 metres in width, be mounted not more than 400mm in from the side of the vehicle and not lower than the top of the windscreen. • number plate lamp/s (white); • reversing lamps/s (yellow/amber, if pre-1989 vehicles only, or white); • daytime running lamp/s (white); • additional lamps, if fitted. Note 8: Further information on lamps/lights is contained in Information Sheets",17
brake lights white ,2.2(h),"The following lamps, where applicable, do not operate correctly or do not emit the colour light as indicated: • front park or side lamps (white); • brake lamps (red); • tail lamps (red); • turn signal indicator lamps (amber, or white if prior to 1973); • rear facing signal indicator lamps (yellow/amber/red prior to 1973); • hazard warning lamps (yellow/amber); • clearance/side marker lamps, (if fitted, front – yellow/white, side – yellow/amber, rear – yellow/amber and red); Note 6: For pre-ADR vehicles, clearance lamps must be fitted to all vehicles which exceed 2.2 metres in width and be mounted not more than 400mm in from the side of the vehicle, at least 750mm higher than the centre of any low beam headlamp or not lower than the top of the windscreen. Note 7: Clearance lamps must be fitted to ADR complying vehicles which exceed 2.1 metres in width, be mounted not more than 400mm in from the side of the vehicle and not lower than the top of the windscreen. • number plate lamp/s (white); • reversing lamps/s (yellow/amber, if pre-1989 vehicles only, or white); • daytime running lamp/s (white); • additional lamps, if fitted. Note 8: Further information on lamps/lights is contained in Information Sheets",17
reverse lights on,2.3(a),"The reverse lamp, if applicable, operates other than when reverse gear is selected.",17
loose wiring ,2.5(a),Electrical wiring is not securely mounted or is located in such a way that would make the vehicle unsafe.,18
battery loose,2.6(a),A battery is not secured in a cradle or carrier using hold-down clamps.,18
horn inopertative ,2.7(a),A warning device is not fitted or operational and the tone is not of a single pitch. Dual air or electrical horns are acceptable provided they are of a single pitch.,18
chipped windscreen,3.1(f),"The primary vision area is cracked, scored, chipped, badly sandblasted, or otherwise damaged so as to impair the driver’s vision or damage the wiper blades.",19
cracked windscreen ,3.1(f),"The primary vision area is cracked, scored, chipped, badly sandblasted, or otherwise damaged so as to impair the driver’s vision or damage the wiper blades.",19
wiper blades perished,3.3(b),"Wiper components are not in good condition (i.e., rubbers are split, frayed, hardened, or perished and/or wiper arms/blades are missing, bent, or twisted preventing the wiper blade rubbers from clearing the windscreen effectively).",20
bull bar obscures headlights ,4.3(a),The fitting of the bull bar is such that it adversely affects the safety of the vehicle or obscures the driver’s view or any mandatory lamps.,21
wheels stick out ,4.6(d),The front mudguard does not shield the portion of the wheel extending rearward from a point vertically above and horizontally behind the centre of the front wheel.,23
number plate obscured ,4.9(d),Number plate characters are not visible from any point within an arc of 45 degrees at a distance of 20 metres above and on both sides of the number plate.,24
sway bar missing ,6.14(a),"Sway bar components are broken, loose, unduly worn, disconnected, or have been removed. Note 1: Sway bar components include sway bars, linkages, and bushes.",33
low clearance ,6.17(a),"The ground clearance of a vehicle is less than 100mm excluding unsprung mass, flexible mudguards or mudflaps, flexible underbody aerodynamic aids and flexible underbody covers and trays. Note 1: Ground clearance requirements for motor vehicles are detailed in Information Sheet No. 13 (page 82) in Part 3 Information Sheets for Approved Examiners.",34
lowered ,6.17(a),"The ground clearance of a vehicle is less than 100mm excluding unsprung mass, flexible mudguards or mudflaps, flexible underbody aerodynamic aids and flexible underbody covers and trays. Note 1: Ground clearance requirements for motor vehicles are detailed in Information Sheet No. 13 (page 82) in Part 3 Information Sheets for Approved Examiners.",34
too low,6.17(a),"The ground clearance of a vehicle is less than 100mm excluding unsprung mass, flexible mudguards or mudflaps, flexible underbody aerodynamic aids and flexible underbody covers and trays. Note 1: Ground clearance requirements for motor vehicles are detailed in Information Sheet No. 13 (page 82) in Part 3 Information Sheets for Approved Examiners.",34
incorrect wheels ,7.1(a),Wheels/rims are not of an approved type and construction or are not compatible with hubs. Note 1: This relates only to those wheels in contact with the road. The spare wheel is not included in a safety check. Please also refer to the LS Section of NCOP.,34
tyres worn ,7.3(h),"Tyres do not have a tread pattern at least 1.5mm deep, other than at tread wear indicators, in a band that runs continuously across the tyre width that normally comes into contact with the road and around the whole circumference of the tyre. Note 3: The principal grooves of the tyre are the wide circumferential grooves positioned in the central zone of the tyre tread that have tyre wear indicators. If the tyre has tyre wear indicators, the tyre wear depth should be measured in the principal grooves. A tyre, however, must not have any excessively uneven, localised, and patchy wear of the tread that may increase the safety risk.",36
no tread,7.3(h),"Tyres do not have a tread pattern at least 1.5mm deep, other than at tread wear indicators, in a band that runs continuously across the tyre width that normally comes into contact with the road and around the whole circumference of the tyre. Note 3: The principal grooves of the tyre are the wide circumferential grooves positioned in the central zone of the tyre tread that have tyre wear indicators. If the tyre has tyre wear indicators, the tyre wear depth should be measured in the principal grooves. A tyre, however, must not have any excessively uneven, localised, and patchy wear of the tread that may increase the safety risk.",36
tyres bald ,7.3(h),"Tyres do not have a tread pattern at least 1.5mm deep, other than at tread wear indicators, in a band that runs continuously across the tyre width that normally comes into contact with the road and around the whole circumference of the tyre. Note 3: The principal grooves of the tyre are the wide circumferential grooves positioned in the central zone of the tyre tread that have tyre wear indicators. If the tyre has tyre wear indicators, the tyre wear depth should be measured in the principal grooves. A tyre, however, must not have any excessively uneven, localised, and patchy wear of the tread that may increase the safety risk.",36
cat missing ,9.11(a),"Any original emission related component is not properly located, connected, damaged, deteriorated, or altered in any way to reduce effectiveness (e.g., a catalytic converter is not fitted where one was originally provided or has been bypassed).",47
dpf missing ,9.11(a),"Any original emission related component is not properly located, connected, damaged, deteriorated, or altered in any way to reduce effectiveness (e.g., a catalytic converter is not fitted where one was originally provided or has been bypassed).",47
cat delete,9.11(a),"Any original emission related component is not properly located, connected, damaged, deteriorated, or altered in any way to reduce effectiveness (e.g., a catalytic converter is not fitted where one was originally provided or has been bypassed).",47
dpf delete ,9.11(a),"Any original emission related component is not properly located, connected, damaged, deteriorated, or altered in any way to reduce effectiveness (e.g., a catalytic converter is not fitted where one was originally provided or has been bypassed).",47
muffler missing,9.11(b),Any pipe or muffler incorporated in the exhaust system to ensure the vehicle maintains compliance with ADRs for vehicle noise emission is not fitted.,47
straight through pipe,9.11(b),Any pipe or muffler incorporated in the exhaust system to ensure the vehicle maintains compliance with ADRs for vehicle noise emission is not fitted.,47
straight pipe,9.11(b),Any pipe or muffler incorporated in the exhaust system to ensure the vehicle maintains compliance with ADRs for vehicle noise emission is not fitted.,47
straight through exhaust ,9.11(b),Any pipe or muffler incorporated in the exhaust system to ensure the vehicle maintains compliance with ADRs for vehicle noise emission is not fitted.,47
abs light on ,10.1(c),"Where fitted, any advanced braking system warning lamp is inoperative, indicates a system fault, or is missing. Note 2: Advanced braking systems are programmed by the Original Equipment Manufacturer and includes, but is not limited to, systems such as anti-lock braking systems (ABS), electronic braking systems (EBS), electronic stability control (ESC), etc.",49
